date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-09-09	8.8000	8.0700		2978800	8.4114	8.4114	True
2026-09-10	7.9800	7.4500	-7.6828	3660500	7.8094	8.0814	True
2026-09-11	7.6600	7.8800	5.7718	3163400	7.9091	8.0316	True
2026-09-14	7.7900	7.7100	-2.1574	2582200	7.8843	8.0002	True
2026-09-15	7.7000	7.7700	0.7782	2618900	7.7329	7.9526	True
2026-09-16	7.8600	8.2300	5.9202	4238300	8.1675	7.9906	True
2026-09-17	8.4500	8.7600	6.4399	4251700	8.7942	8.1159	True
2026-09-18	8.7600	8.5500	-2.3973	21829400	8.4636	8.1630	True
2026-09-21	8.6900	9.7600	14.1520	4607000	9.6098	8.3458	True
2026-09-22	9.7900	9.8950	1.3832	2278447	9.8058	8.4663	True
