date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-04-28	31.8200	31.9300		1368900	31.3034	31.3034	True
2026-04-29	31.5700	29.2400	-8.4247	1741400	29.0933	29.8060	True
2026-04-30	30.5000	33.1600	13.4063	1976900	33.0546	31.7942	True
2026-05-01	33.4100	31.9700	-3.5887	1361700	31.8301	31.7985	True
2026-05-04	31.9500	32.0600	0.2815	1146100	31.9632	31.8125	True
2026-05-05	32.8800	32.7100	2.0274	1770800	31.6212	31.7566	True
2026-05-06	33.6400	36.8700	12.7178	2117700	37.0000	33.2265	True
2026-05-07	36.2600	33.3800	-9.4657	1508500	33.8109	33.3717	True
2026-05-08	34.0600	34.7900	4.2241	1840100	34.6194	33.7307	True
2026-05-11	34.7800	34.1700	-1.7821	9616130	33.5264	33.6928	True
